[Main]
Experiment = "RvsT"
Header length = 56    
Date = "20201105 15:54:11"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = TRUE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Automatic"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Automatic"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
10.300779594E+3	388.912000000E+0	10.000000000E+0	1.816791533E-6	1.663438394E-9	5.504208830E+6	5.039605332E+3	3.046415487E+0	1.481626505E+0	289.563818186E-6	300.350392384E-6	1.676810702E+6	815.518169155E+3	159.381972490E+0	165.319128185E+0
10.332350618E+3	389.895800000E+0	10.000000000E+0	1.925986033E-6	1.726839399E-9	5.192145647E+6	4.655278654E+3	3.045856113E+0	1.481285073E+0	298.676565782E-6	235.716553585E-6	1.581452856E+6	769.104784266E+3	155.077223102E+0	122.387467773E+0
10.364119907E+3	390.876000000E+0	10.000000000E+0	2.041474000E-6	1.784633257E-9	4.898421435E+6	4.282144078E+3	3.045739349E+0	1.480931024E+0	367.211346797E-6	191.781924494E-6	1.491931491E+6	725.422427129E+3	179.875593222E+0	93.942868973E+0
10.395735394E+3	391.884500000E+0	10.000000000E+0	2.162947533E-6	2.000897105E-9	4.623320652E+6	4.276936340E+3	3.045693861E+0	1.480442532E+0	273.698967679E-6	197.112791675E-6	1.408121933E+6	684.456053072E+3	126.539808969E+0	91.131564052E+0
10.427451305E+3	392.895400000E+0	10.000000000E+0	2.293428367E-6	2.057927104E-9	4.360284431E+6	3.912547538E+3	3.045066576E+0	1.480027442E+0	282.114685638E-6	213.863042178E-6	1.327735638E+6	645.334061230E+3	123.010027144E+0	93.250369310E+0
10.459190878E+3	393.902600000E+0	10.000000000E+0	2.430171233E-6	2.158546600E-9	4.114936373E+6	3.655002494E+3	3.044681081E+0	1.479675911E+0	277.365056489E-6	181.944072686E-6	1.252866892E+6	608.877222465E+3	114.133955947E+0	74.868828250E+0
10.491999653E+3	394.916900000E+0	10.000000000E+0	2.578479700E-6	2.266147302E-9	3.878254306E+6	3.408479630E+3	3.044597669E+0	1.479209211E+0	313.770138712E-6	166.414748090E-6	1.180772402E+6	573.674949235E+3	121.688039162E+0	64.539871340E+0
10.524826788E+3	395.911300000E+0	10.000000000E+0	2.733643833E-6	2.424986229E-9	3.658121032E+6	3.245080072E+3	3.044098651E+0	1.478805739E+0	284.117045531E-6	208.438021416E-6	1.113568130E+6	540.965037691E+3	103.933453973E+0	76.249150996E+0
10.557558511E+3	396.908400000E+0	10.000000000E+0	2.897617333E-6	2.509222387E-9	3.451111327E+6	2.988526367E+3	3.043878288E+0	1.478362937E+0	256.256029469E-6	194.846631446E-6	1.050476284E+6	510.199507826E+3	88.436808588E+0	67.243741678E+0
10.590263269E+3	397.887700000E+0	10.000000000E+0	3.066435600E-6	2.614454827E-9	3.261115283E+6	2.780439476E+3	3.043644094E+0	1.478023867E+0	225.835025178E-6	234.008454462E-6	992.567427146E+3	482.000622156E+3	73.647405208E+0	76.312854724E+0
10.622102233E+3	398.868200000E+0	10.000000000E+0	3.238893867E-6	2.623072359E-9	3.087473814E+6	2.500442298E+3	3.043138677E+0	1.477601970E+0	245.972224391E-6	192.646573271E-6	939.561097896E+3	456.205739005E+3	75.943280181E+0	59.479125035E+0
10.655951723E+3	399.918400000E+0	10.000000000E+0	3.431220600E-6	2.959408103E-9	2.914414771E+6	2.513666037E+3	3.042809897E+0	1.477023038E+0	230.281005762E-6	188.734570133E-6	886.801010987E+3	430.465775843E+3	67.113436473E+0	55.005081904E+0
